sku,nome,categoria,subcategoria,codigo,descricao_tecnica,aplicacao,publico_indicado,diferencial,risco_ou_cuidado,argumento_venda,objecao_comum,resposta_objecao,venda_casada,source_url,status_dados
ESC-006,Kers Escova de Microfibra para Limpeza de Rodas,Escovas,Rodas,7908216808546,Escova de microfibra para limpeza de rodas.,Limpeza de rodas.,Profissional; consumidor exigente,Toque em microfibra para limpeza dedicada.,A página pública não detalha mais o uso.,Boa opção para manutenção de rodas com ferramenta específica.,Vale ter uma só para roda?,"Sim, roda concentra sujeira pesada e merece ferramenta própria.",Limpa-rodas; APC,https://www.kers.com.br/escovas,público
ESC-007,Kers Escova Dual Color para Limpeza de Rodas,Escovas,Rodas,7908216811317,Escova dual color para limpeza de rodas.,Limpeza de rodas.,Profissional; hobista,Ferramenta dedicada a rodas.,A página pública não detalha mais.,Ajuda a montar kit completo de rodas.,Qual a diferença dela?,É mais uma opção dedicada de escova para a etapa de rodas.,Limpa-rodas,https://www.kers.com.br/escovas,público
ESC-008,Kers Escova de Microfibra Angular para Limpeza de Rodas,Escovas,Rodas,7908216808522,"Escova angular para detalhamento em rodas; remove poeira, graxa e sujeira sem riscar.",Limpeza de rodas.,Profissional; hobista,Formato angular e proposta sem riscar.,Combinar com químico adequado ao nível de sujeira.,Bom argumento para cliente que teme marcar a roda.,Vai riscar?,A proposta do produto é justamente limpar sem riscar quando usado corretamente.,Limpa-rodas; APC,https://www.kers.com.br/escovas,público
ESC-009,Kers Escova Soft Wheel para Rodas,Escovas,Rodas,7908216808706,Escova Soft Wheel para rodas.,Limpeza de rodas.,Consumidor exigente; detailer,Limpeza dedicada com abordagem mais suave.,Combinar com químico correto.,Boa opção para manutenção de rodas com cuidado.,Vale investir em uma escova só para roda?,Vale porque roda concentra sujeira pesada e ferramentas dedicadas melhoram o resultado.,Limpa-rodas,https://www.kers.com.br/escovas,público
ESC-010,Kers Escova Pica Pau para Rodas e Pneus,Escovas,Rodas e pneus,7908216808720,Escova Pica Pau para rodas e pneus.,Limpeza de rodas e pneus.,Profissional; hobista,Ferramenta dedicada a duas áreas de alto acúmulo de sujeira.,Detalhes limitados na página pública.,Ajuda a montar kit de rodas/pneus.,Serve para carro e moto?,"Sim, desde que a área e o químico sejam compatíveis.",Limpa-pneus; limpa-rodas,https://www.kers.com.br/escovas,público
ESC-011,Kers Escova para Limpeza de Rodas Curta,Escovas,Rodas,119,"Escova curta com cabeça emborrachada, cerdas de nylon médias e construção rígida durável, resistente a químicos.",Limpeza de rodas.,Profissional; hobista,Cerdas médias e proteção da roda.,Boa para sujeira moderada a pesada.,Escolha forte para quem quer firmeza sem abrir mão de proteção da roda.,Vai riscar?,A cabeça emborrachada e as cerdas adequadas ajudam a limpar sem causar danos quando usada corretamente.,Limpa-rodas; APC,https://www.kers.com.br/escovas,público
ESC-012,Kers Escova para Limpeza de Furo de Rodas,Escovas,Furo de roda,165,"Escova de última geração para limpeza rápida e eficaz de rodas, sem arranhar.",Furo de roda.,Profissional; hobista,Desenho voltado a limpeza rápida e sem arranhões.,Vender junto com limpa-rodas.,Resolve um dos pontos mais demorados da lavagem.,Vai servir em qualquer aro?,A página pública destaca uso para diversos tipos de aros.,Limpa-rodas; APC,https://www.kers.com.br/escovas,público
ESC-013,Kers Escova para Limpeza de Couro com Cerdas Naturais,Escovas,Couro,177,"Escova com cerdas de crina de cavalo, extremamente suave, indicada para couro e materiais sensíveis.",Limpeza de couro e materiais sensíveis.,Detalhamento interno; estética premium,Suavidade e ergonomia para limpeza sem danificar.,Reforçar uso com limpador específico de couro.,Ajuda a vender cuidado profissional em interior premium.,Posso usar qualquer escova macia?,Uma feita para couro reduz risco de agressão e passa mais confiança ao cliente.,Limpador de couro; hidratante,https://www.kers.com.br/escovas,público
ESC-014,Kers Carpet Clean - Escova para limpeza,Escovas,Carpete / tapete,875,Escova para limpeza de carpetes e tapetes.,"Carpetes, tapetes e tecidos.",Detalhamento interno,Linha dedicada a carpetes e tapetes.,A página pública mistura trechos visuais; manter venda consultiva simples.,Boa para higienização interna e upsell de detalhamento completo.,Não serve uma escova qualquer?,Uma escova dedicada tende a melhorar rendimento e ergonomia na limpeza de tecidos.,APC; extratora,https://www.kers.com.br/escovas,público
ESC-015,Kers Escova para Limpeza de Parafusos e Pequenas Áreas,Escovas,Precisão,,Escova para parafusos e pequenas áreas.,Precisão em zonas pequenas.,Profissional,Foco em áreas minúsculas e detalhes.,Detalhes limitados na página pública.,Mostra preocupação com acabamento fino.,Preciso mesmo disso?,"Para detalhamento fino, ferramentas específicas fazem diferença no tempo e no resultado.",APC; kit de escovas,https://www.kers.com.br/escovas,parcial
CLY-001,Kers Mouse Easy Clay,Linha Clay,Clay,55,"Produto para descontaminação de superfícies; remove overspray, manchas de água superficiais, seiva, poeira, excrementos, oxidação leve e resíduos de freio.",Descontaminação de pintura.,Profissional; hobista,Formato prático para descontaminação.,Lubrificação adequada é fundamental.,Amplia opções de descontaminação além da clay tradicional.,Qual a diferença para a clay bar?,O formato muda a ergonomia e a forma de aplicação.,Lubrificante; microfibra,https://www.kers.com.br/linha-clay,público
CLY-002,"Kers Disco Clay Bar Mágico de Descontaminação 6"" Suave",Linha Clay,Disco clay,49,"Disco clay para remoção de contaminações como sprays de tinta, seiva e chuva ácida; uso manual ou mecânico.",Descontaminação antes de polimento ou proteção.,Profissional,Uso manual ou mecânico acelera produtividade.,Necessita lubrificação e escolha correta da agressividade.,Ganho de tempo sem abrir mão de segurança quando usado corretamente.,Clay dá muito trabalho.,Esse formato agiliza a etapa e permite adaptação ao nível de contaminação.,Lubrificante; politriz; microfibra,https://www.kers.com.br/linha-clay,público
CLY-003,"Kers Disco Clay Bar Mágico de Descontaminação 6"" Médio",Linha Clay,Disco clay,54,Disco clay para remoção de contaminações com agressividade média.,Descontaminação antes de polimento ou proteção.,Profissional,Uso manual ou mecânico acelera produtividade.,Necessita lubrificação e escolha correta da agressividade.,Ganho de tempo sem abrir mão de segurança quando usado corretamente.,Qual agressividade eu escolho?,"A média funciona quando a contaminação pede mais ação que a suave, sem ir direto para a agressiva.",Lubrificante; politriz; microfibra,https://www.kers.com.br/linha-clay,público
